month | finance | fact_revenue | authoritative_price | difference | classification | finance action
-----------------------------------------------------------------------------------------------------------------------------
2024-01 | 38446071.33 | 38446071.33 | 38441053.44 | 0.00 | MATCH | No action required.
2024-02 | 34887085.55 | 34887085.55 | 34882736.09 | 0.00 | MATCH | No action required.
2024-03 | 42457899.09 | 41971649.09 | 41970655.87 | 486250.00 | PIPELINE BUG / INVESTIGATE | Do not take to Finance yet: inspect loading, line-type filtering, and product/date joins first.
2024-04 | 37958457.37 | 37958457.37 | 37954049.14 | 0.00 | MATCH | No action required.
2024-05 | 41764716.40 | 41764716.40 | 41760822.63 | 0.00 | MATCH | No action required.
2024-06 | 38987082.82 | 38987082.82 | 38981901.03 | 0.00 | MATCH | No action required.
2024-07 | 40527291.81 | 40295160.11 | 40288420.30 | 232131.70 | SOURCE DATA | Take to Finance: S07 has three permanently missing July exports; Finance holds the phone-in figures.
2024-08 | 45252181.75 | 45252181.75 | 45248410.74 | 0.00 | MATCH | No action required.
2024-09 | 44615037.46 | 44615037.46 | 44606240.94 | 0.00 | MATCH | No action required.
2024-10 | 56359195.92 | 56359195.92 | 56345976.15 | 0.00 | MATCH | No action required.
2024-11 | 51583838.47 | 51583838.47 | 51571462.97 | 0.00 | MATCH | No action required.
2024-12 | 50745209.00 | 50745259.48 | 50734961.70 | -50.48 | PIPELINE BUG / INVESTIGATE | Do not take to Finance yet: inspect loading, line-type filtering, and product/date joins first.
